record_type,analysis_family,surface,group,arm,left_arm,right_arm,condition,query_family,stratum,metric,value_pct,estimate_pp,ci95_lower_pp,ci95_upper_pp,row_count,history_cluster_count,bootstrap_samples,bootstrap_seed,source_file
absolute,matched_eight_arm,pooled_A_B,by_arm_condition,graphiti_memory_4096,,,post_update,,,exact_match,62.50,,,,48,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition,graphiti_memory_4096,,,post_update,,,f1,69.58,,,,48,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition,graphiti_memory_4096,,,pre_update,,,exact_match,87.50,,,,48,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition,graphiti_memory_4096,,,pre_update,,,f1,88.33,,,,48,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition,graphiti_memory_4096,,,token_distance_4096,,,exact_match,12.50,,,,48,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition,graphiti_memory_4096,,,token_distance_4096,,,f1,25.07,,,,48,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition,graphiti_memory_4096,,,token_distance_8192,,,exact_match,16.67,,,,48,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition,graphiti_memory_4096,,,token_distance_8192,,,f1,24.04,,,,48,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition,hybrid_kg_memory_16384,,,delayed_probe,,,exact_match,43.75,,,,48,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition,hybrid_kg_memory_16384,,,delayed_probe,,,f1,46.67,,,,48,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition,hybrid_kg_memory_16384,,,post_update,,,exact_match,100.00,,,,48,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition,hybrid_kg_memory_16384,,,post_update,,,f1,100.00,,,,48,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition,hybrid_kg_memory_16384,,,pre_update,,,exact_match,70.83,,,,48,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition,hybrid_kg_memory_16384,,,pre_update,,,f1,70.83,,,,48,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition,hybrid_kg_memory_16384,,,token_distance_4096,,,exact_match,70.83,,,,48,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition,hybrid_kg_memory_16384,,,token_distance_4096,,,f1,71.43,,,,48,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition,hybrid_kg_memory_16384,,,token_distance_8192,,,exact_match,60.42,,,,48,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition,hybrid_kg_memory_16384,,,token_distance_8192,,,f1,62.29,,,,48,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition,hybrid_kg_memory_4096,,,delayed_probe,,,exact_match,58.33,,,,48,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition,hybrid_kg_memory_4096,,,delayed_probe,,,f1,60.21,,,,48,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition,hybrid_kg_memory_4096,,,post_update,,,exact_match,100.00,,,,48,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition,hybrid_kg_memory_4096,,,post_update,,,f1,100.00,,,,48,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition,hybrid_kg_memory_4096,,,pre_update,,,exact_match,68.75,,,,48,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition,hybrid_kg_memory_4096,,,pre_update,,,f1,68.75,,,,48,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition,hybrid_kg_memory_4096,,,token_distance_4096,,,exact_match,58.33,,,,48,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition,hybrid_kg_memory_4096,,,token_distance_4096,,,f1,64.65,,,,48,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition,hybrid_kg_memory_4096,,,token_distance_8192,,,exact_match,52.08,,,,48,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition,hybrid_kg_memory_4096,,,token_distance_8192,,,f1,56.53,,,,48,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition,sliding_context_16384,,,delayed_probe,,,exact_match,20.83,,,,48,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition,sliding_context_16384,,,delayed_probe,,,f1,23.96,,,,48,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition,sliding_context_16384,,,post_update,,,exact_match,60.42,,,,48,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition,sliding_context_16384,,,post_update,,,f1,65.56,,,,48,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition,sliding_context_16384,,,pre_update,,,exact_match,97.92,,,,48,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition,sliding_context_16384,,,pre_update,,,f1,97.92,,,,48,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition,sliding_context_16384,,,token_distance_4096,,,exact_match,41.67,,,,48,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition,sliding_context_16384,,,token_distance_4096,,,f1,49.58,,,,48,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition,sliding_context_16384,,,token_distance_8192,,,exact_match,43.75,,,,48,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition,sliding_context_16384,,,token_distance_8192,,,f1,50.07,,,,48,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition,sliding_context_4096,,,delayed_probe,,,exact_match,0.00,,,,48,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition,sliding_context_4096,,,delayed_probe,,,f1,0.00,,,,48,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition,sliding_context_4096,,,post_update,,,exact_match,64.58,,,,48,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition,sliding_context_4096,,,post_update,,,f1,70.62,,,,48,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition,sliding_context_4096,,,pre_update,,,exact_match,85.42,,,,48,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition,sliding_context_4096,,,pre_update,,,f1,85.42,,,,48,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition,sliding_context_4096,,,token_distance_4096,,,exact_match,2.08,,,,48,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
